ds,y
2019-10-26 10:10:00,0.663361011
2019-10-26 11:10:00,0.674379613
2019-10-26 12:10:00,0.661375213
2019-10-26 13:10:00,0.665375619
2019-10-26 14:10:00,0.644664768
2019-10-26 15:10:00,0.665696111
2019-10-26 16:10:00,0.669349994
2019-10-26 17:10:00,0.714429993
2019-10-26 18:10:00,0.727101941
2019-10-26 19:10:00,0.777850838
2019-10-26 20:10:00,0.745051724
2019-10-26 21:10:00,0.743864856
2019-10-26 22:10:00,0.760714977
2019-10-26 23:10:00,0.663604053
2019-10-27 00:10:00,0.645161239
2019-10-27 01:10:00,0.637000684
2019-10-27 02:10:00,0.647500453
2019-10-27 03:10:00,0.566680869
2019-10-27 04:10:00,0.539366782
2019-10-27 05:10:00,0.58782535
2019-10-27 06:10:00,0.592510327
2019-10-27 07:10:00,0.676671086
2019-10-27 08:10:00,0.651898224
2019-10-27 09:10:00,0.746417856
2019-10-27 10:10:00,0.728552301
2019-10-27 11:10:00,0.69177324
2019-10-27 12:10:00,0.676059121
2019-10-27 13:10:00,0.758002594
2019-10-27 14:10:00,0.686861672
2019-10-27 15:10:00,0.705056262
2019-10-27 16:10:00,0.693180811
2019-10-27 17:10:00,0.690553139
2019-10-27 18:10:00,0.79117275
2019-10-27 19:10:00,0.849358979
2019-10-27 20:10:00,0.774250484
2019-10-27 21:10:00,0.746000233
2019-10-27 22:10:00,0.677062487
2019-10-27 23:10:00,0.634546105
2019-10-28 00:10:00,0.569984068
2019-10-28 01:10:00,0.590784982
2019-10-28 02:10:00,0.532348771
2019-10-28 03:10:00,0.54980011
2019-10-28 04:10:00,0.589827276
2019-10-28 05:10:00,0.64269936
2019-10-28 06:10:00,0.721558394
2019-10-28 07:10:00,0.769646027
2019-10-28 08:10:00,0.697832033
2019-10-28 09:10:00,0.649003537
2019-10-28 10:10:00,0.652528783
2019-10-28 11:10:00,0.736756958
2019-10-28 12:10:00,0.676503552
2019-10-28 13:10:00,0.663087002
2019-10-28 14:10:00,0.681543764
2019-10-28 15:10:00,0.689696835
2019-10-28 16:10:00,0.650602517
2019-10-28 17:10:00,0.664867726
2019-10-28 18:10:00,0.706526413
2019-10-28 19:10:00,0.87952197
2019-10-28 20:10:00,0.935661273
2019-10-28 21:10:00,0.928312529
2019-10-28 22:10:00,0.820588053
2019-10-28 23:10:00,0.71988849
2019-10-29 00:10:00,0.754694758
2019-10-29 01:10:00,0.660096172
2019-10-29 02:10:00,0.613032494
2019-10-29 03:10:00,0.706536669
2019-10-29 04:10:00,0.664911122
2019-10-29 05:10:00,0.782043229
2019-10-29 06:10:00,0.778304695
2019-10-29 07:10:00,0.899201298
2019-10-29 08:10:00,0.736952697
2019-10-29 09:10:00,0.677608464
2019-10-29 10:10:00,0.749358865
2019-10-29 11:10:00,0.650289265
2019-10-29 12:10:00,0.677187017
2019-10-29 13:10:00,0.676475133
2019-10-29 14:10:00,0.799093418
2019-10-29 15:10:00,0.794419795
2019-10-29 16:10:00,0.806760097
2019-10-29 17:10:00,0.845642678
2019-10-29 18:10:00,0.866234388
2019-10-29 19:10:00,0.926858376
2019-10-29 20:10:00,0.842311897
2019-10-29 21:10:00,0.860814212
2019-10-29 22:10:00,0.81518363
2019-10-29 23:10:00,0.749765357
2019-10-30 00:10:00,0.687095271
2019-10-30 01:10:00,0.730708175
2019-10-30 02:10:00,0.719515406
2019-10-30 03:10:00,0.713265541
2019-10-30 04:10:00,0.707718624
2019-10-30 05:10:00,0.744896303
2019-10-30 06:10:00,0.787322369
2019-10-30 07:10:00,0.853185011
2019-10-30 08:10:00,0.866457946
2019-10-30 09:10:00,0.84128005
2019-10-30 10:10:00,0.850139432
2019-10-30 11:10:00,0.838566193
2019-10-30 12:10:00,0.817336648
2019-10-30 13:10:00,0.822838134
2019-10-30 14:10:00,0.81470378
2019-10-30 15:10:00,0.820040172
2019-10-30 16:10:00,0.805083859
2019-10-30 17:10:00,0.850775271
2019-10-30 18:10:00,0.847943056
2019-10-30 19:10:00,0.919138836
2019-10-30 20:10:00,0.863828225
2019-10-30 21:10:00,0.877364884
2019-10-30 22:10:00,0.859795693
2019-10-30 23:10:00,0.787025406
2019-10-31 00:10:00,0.742390774
2019-10-31 01:10:00,0.719656425
2019-10-31 02:10:00,0.706844118
2019-10-31 03:10:00,0.550946991
2019-10-31 04:10:00,0.535983692
2019-10-31 05:10:00,0.580035653
2019-10-31 06:10:00,0.645975468
2019-10-31 07:10:00,0.781954118
2019-10-31 08:10:00,0.807594501
2019-10-31 09:10:00,0.752099851
2019-10-31 10:10:00,0.82325367
2019-10-31 11:10:00,0.829975279
2019-10-31 12:10:00,0.881535258
2019-10-31 13:10:00,0.82499628
2019-10-31 14:10:00,0.821009776
2019-10-31 15:10:00,0.769370068
2019-10-31 16:10:00,0.808248396
2019-10-31 17:10:00,0.854841704
2019-10-31 18:10:00,0.937927567
2019-10-31 19:10:00,1.165852758
2019-10-31 20:10:00,1.085600216
2019-10-31 21:10:00,1.157736198
2019-10-31 22:10:00,1.10276184
2019-10-31 23:10:00,1.075426136
2019-11-01 00:10:00,0.93214682
2019-11-01 01:10:00,0.959386689
2019-11-01 02:10:00,1.051440174
2019-11-01 03:10:00,1.044332599
2019-11-01 04:10:00,0.987563199
2019-11-01 05:10:00,1.198602527
2019-11-01 06:10:00,1.203424401
2019-11-01 07:10:00,1.217399487
2019-11-01 08:10:00,1.227686983
2019-11-01 09:10:00,1.1611326
2019-11-01 10:10:00,1.094537085
2019-11-01 11:10:00,1.065014433
2019-11-01 12:10:00,0.910650819
2019-11-01 13:10:00,0.874121156
2019-11-01 14:10:00,0.818079746
2019-11-01 15:10:00,0.75367944
2019-11-01 16:10:00,0.727675523
2019-11-01 17:10:00,0.690089525
2019-11-01 18:10:00,0.902065524
2019-11-01 19:10:00,1.075798559
2019-11-01 20:10:00,0.990489622
2019-11-01 21:10:00,1.082456069
2019-11-01 22:10:00,1.072139587
2019-11-01 23:10:00,1.045953504
2019-11-02 00:10:00,1.029601565
2019-11-02 01:10:00,0.935444838
2019-11-02 02:10:00,0.99394389
2019-11-02 03:10:00,0.979756806
2019-11-02 04:10:00,1.029114406
2019-11-02 05:10:00,1.013458231
2019-11-02 06:10:00,1.122180392
2019-11-02 07:10:00,1.262611233
2019-11-02 08:10:00,1.272675722
2019-11-02 09:10:00,1.134084078
2019-11-02 10:10:00,1.062804393
2019-11-02 11:10:00,0.911311761
2019-11-02 12:10:00,0.88931529
2019-11-02 13:10:00,0.803846955
2019-11-02 14:10:00,0.845642693
2019-11-02 15:10:00,0.772940775
2019-11-02 16:10:00,0.757710498
2019-11-02 17:10:00,0.81395844
2019-11-02 18:10:00,0.865602064
2019-11-02 19:10:00,1.074336147
2019-11-02 20:10:00,0.91340048
2019-11-02 21:10:00,1.046365355
2019-11-02 22:10:00,1.042367951
2019-11-02 23:10:00,0.933504033
2019-11-03 00:10:00,0.929132009
2019-11-03 01:10:00,0.964054309
2019-11-03 01:10:00,1.009570848
2019-11-03 02:10:00,0.916359298
2019-11-03 03:10:00,1.084877047
2019-11-03 04:10:00,1.083467618
2019-11-03 05:10:00,1.041265326
2019-11-03 06:10:00,1.088449197
2019-11-03 07:10:00,1.333921732
2019-11-03 08:10:00,1.337724319
2019-11-03 09:10:00,1.202192287
2019-11-03 10:10:00,1.256080127
2019-11-03 11:10:00,1.256080127
2019-11-03 12:10:00,1.256080127
2019-11-03 13:10:00,1.256080127
2019-11-03 14:10:00,1.256080127
2019-11-03 15:10:00,1.256080127
2019-11-03 16:10:00,0.726898441
2019-11-03 17:10:00,0.848332645
2019-11-03 18:10:00,0.928025039
2019-11-03 19:10:00,0.92879542
2019-11-03 20:10:00,0.954273994
2019-11-03 21:10:00,0.97545794
2019-11-03 22:10:00,0.888041384
2019-11-03 23:10:00,0.853659457
2019-11-04 00:10:00,0.836597277
2019-11-04 01:10:00,0.799970442
2019-11-04 02:10:00,0.786545356
2019-11-04 03:10:00,0.774877618
2019-11-04 04:10:00,0.907251178
2019-11-04 05:10:00,0.9057944
2019-11-04 06:10:00,0.982909428
2019-11-04 07:10:00,0.950847454
2019-11-04 08:10:00,0.804752828
2019-11-04 09:10:00,0.848377738
2019-11-04 10:10:00,0.738723081
2019-11-04 11:10:00,0.698087251
2019-11-04 12:10:00,0.681675296
2019-11-04 13:10:00,0.64488564
2019-11-04 14:10:00,0.680287147
